Publication Year,Author,Title,ISSN,DOI,"About, in title (W=women, M=men, W&M = women & men, X=not mentioned)","theme (phys ed (or just ed) and recreation, PE; sports; research study, RS; research study (methods), RS (M); other, OTH)","RACE MENT, FATIGUE",NOTES,"Author sex (M, W or F, x = unknown b/c only 1st initial"
1930,Edward C. Schneider,A Study of Respiratory and Circulatory Responses to a Voluntary Gradual Forcing of Respiration,0002-9513,10.1152/ajplegacy.1930.91.2.390,,,,,
1930,R. D. Templeton; James P. Quigley,The Action of Insulin on the Motility of the Gastrointestinal Tract,0002-9513,10.1152/ajplegacy.1930.91.2.467,,,,,
1930,Eugene U. Still,Studies on the Physiology of Secretin,0002-9513,10.1152/ajplegacy.1930.91.2.405,,,,,
1930,H. Necheles,Basal Metabolism in Orientals,0002-9513,10.1152/ajplegacy.1930.91.2.661,,,,,
1930,W. F. Hamilton,Filling of the Normal Human Heart in Relation to the Cardio-Pneumogram and Abdominal Plethysmogram,0002-9513,10.1152/ajplegacy.1930.91.2.712,,,,,
1930,Howard B. Kellogg,Studies on the Fetal Circulation of Mammals,0002-9513,10.1152/ajplegacy.1930.91.2.637,,,,,
1930,Arthur D. Hirschfelder; Elmer T. Ceder,Does Ethylene Affect Rate of Growth or Action of Enzymes in Animals?,0002-9513,10.1152/ajplegacy.1930.91.2.624,,,,,
1930,James P. Quigley; Edward I. Solomon,Action of Insulin on the Motility of the Gastrointestinal Tract,0002-9513,10.1152/ajplegacy.1930.91.2.488,,,,,
1930,J. J. Izquierdo,The Influence of Sympathetic Stimulation Upon Intra-Auricular Block in the Mammalian Heart,0002-9513,10.1152/ajplegacy.1930.91.2.696,,,,,
1930,Warren O. Nelson; J. J. Pfiffner; H. O. Haterius,The Prolongation of Pregnancy by Extracts of Corpus Luteum,0002-9513,10.1152/ajplegacy.1930.91.2.690,,,,,
1930,James P. Quigley; R. D. Templeton,Action of Insulin on the Motility of the Gastrointestinal Tract,0002-9513,10.1152/ajplegacy.1930.91.2.482,,,,,
1930,W. W. Wenner; A. B. Taylor,The Effect of Changes in Acid-Base Equilibrium on Reflex Time,0002-9513,10.1152/ajplegacy.1930.91.2.365,,,,,
1930,George D. Shafer; Franklin J. Underwood; Edmond P. Gaynor,"The Action of Amytal in Impairing Vagus Cardiac Inhibitory Effects, and of Ether in Increasing the Respiratory Rate After Its Depression by Amytal",0002-9513,10.1152/ajplegacy.1930.91.2.461,,,,,
1930,Ferdinand M. Jordan; Charles S. Greene,Anemia in Jaundice,0002-9513,10.1152/ajplegacy.1930.91.2.409,,,,,
1930,Frank Maltaner; Elizabeth Maltaner,Further Studies of the Chemical Reactions Underlying the Coagulation of the Blood. The Activity of Lecithin,0002-9513,10.1152/ajplegacy.1930.91.2.423,,,,,
1930,B. P. Babkin; Margaret E. Mackay,Concerning the Motor Mechanism of the Salivary Glands,0002-9513,10.1152/ajplegacy.1930.91.2.370,,,,,
1930,Walter Rose; Charles J. Stucky,Studies in the Physiology of Vitamins,0002-9513,10.1152/ajplegacy.1930.91.2.513,,,,,
1930,Walter Rose; Charles J. Stucky; Lafayette B. Mendel,Studies in the Physiology of Vitamins,0002-9513,10.1152/ajplegacy.1930.91.2.520,,,,,
1930,Catherine Corbeille; Edward J. Baldes,Changes in Volume of the Spleen in Response to Acoustic Stimulation,0002-9513,10.1152/ajplegacy.1930.91.2.499,,,,,
1930,Jean La Barre; Eugene U. Still,Studies on the Physiology of Secretin,0002-9513,10.1152/ajplegacy.1930.91.2.649,,,,,
1930,Elizabeth Pomerene; Howard H. Beard,Studies in the Nutrition of the White Mouse,0002-9513,10.1152/ajplegacy.1930.92.1.282,,,,,
1930,Willard M. Allen,Physiology of the Corpus Luteum,0002-9513,10.1152/ajplegacy.1930.92.1.174,,,,,
1930,George T. Pack; Donn Barber,The Placental Transmission of Insulin From Fetus to Mother,0002-9513,10.1152/ajplegacy.1930.92.1.271,,,,,
1930,J. Nick Esau; O. O. Stoland,Blood Phosphorus and Serum Calcium in Normal and Parathyroidectomized Dogs Treated With Parathormone,0002-9513,10.1152/ajplegacy.1930.92.1.25,,,,,
1930,James Markowitz; Hiram E. Essex,Observations on the Preparation and Activities of a Visceral Organism,0002-9513,10.1152/ajplegacy.1930.92.1.205,,,,,
1930,J. Nick Esau; O. O. Stoland,Blood Phosphorus and Serum Calcium in Parathyroid Deficiency,0002-9513,10.1152/ajplegacy.1930.92.1.1,,,,,
1930,Edward L. Turner; Edma Aboushadid,The Basal Metabolism and Vital Capacity of Syrian Women,0002-9513,10.1152/ajplegacy.1930.92.1.189,,,,,
1930,E. W. H. Cruickshank,The Action of Insulin on the Storage and Utilization of Sugar by the Isolated Normal and Diabetic Heart,0002-9513,10.1152/ajplegacy.1930.92.1.144,,,,,
1930,Joseph Erlanger; Herbert S. Gasser,The Action Potential in Fibers of Slow Conduction in Spinal Roots and Somatic Nerves,0002-9513,10.1152/ajplegacy.1930.92.1.43,,,,,
1930,Sherburne F. Cook; M. I. Rose,The Recovery of the Spleen From Contraction Induced by Exercise,0002-9513,10.1152/ajplegacy.1930.92.1.240,,,,,
1930,A. S. Gilson; E. Irvine-Jones,The Effect of Repetitive Stimulation Upon the Duration of the Electrical Response of Ventricular Muscle,0002-9513,10.1152/ajplegacy.1930.92.1.160,,,,,
1930,A. S. Gilson; E. Irvine-Jones,Effects of Cold and of Veratrin Upon the Action Potential of Ventricular Muscle,0002-9513,10.1152/ajplegacy.1930.92.1.165,,,,,
1930,Walter Rose; Charles J. Stucky; George R. Cowgill,Studies in the Physiology of Vitamins,0002-9513,10.1152/ajplegacy.1930.92.1.83,,,,,
1930,Jesse L. Bollman; Frank C. Mann,Studies on the Physiology of the Liver,0002-9513,10.1152/ajplegacy.1930.92.1.92,,,,,
1930,O. O. Stoland; J. Nick Esau,The Influence of Liver Extract on Dogs Suffering From Parathyroid Deficiency,0002-9513,10.1152/ajplegacy.1930.92.1.35,,,,,
1930,E. J. Allen; Joseph A. Pratt; Quitman U. Newell; Lorna Bland,Hormone Content of Human Ovarian Tissues,0002-9513,10.1152/ajplegacy.1930.92.1.127,,,,,
1930,C. I. Reed; Jennifer Layman,Effects of Bilateral Vagotomy on Blood Pressure and Heart Rate,0002-9513,10.1152/ajplegacy.1930.92.1.275,,,,,
1930,Sherburne F. Cook; J. M. D. Olmsted,The Effect of Asphyxia on the Spleen of Curarized and Uncurarized Decapitate Cats,0002-9513,10.1152/ajplegacy.1930.92.1.249,,,,,
1930,Carl J. Wiggers,Studies of Ventricular Fibrillation Caused by Electric Shock,0002-9513,10.1152/ajplegacy.1930.92.1.223,,,,,
1930,Norman E. Freeman,The Rôle of Hexose Diphosphate in Muscle Activity,0002-9513,10.1152/ajplegacy.1930.92.1.107,,,,,
1930,John C. Whitehorn; Helge Lundholm,The Relation Between Stature and the Latent Period of the Knee Jerk,0002-9513,10.1152/ajplegacy.1930.92.1.214,,,,,
1930,Herman H. Riecker; Mary Winters,Serum Iron Determinations Applied to the Study of Experimental Anemia,0002-9513,10.1152/ajplegacy.1930.92.1.196,,,,,
1930,Charles D. Snyder,On the True Anoxidative and Oxidative Heat Production of Smooth Muscle,0002-9513,10.1152/ajplegacy.1930.92.1.117,,,,,
1930,Chalmers L. Gemmill; William Booth; Barbara Pocock,Muscular Training,0002-9513,10.1152/ajplegacy.1930.92.1.253,,,,,
1930,Harry O. Veach; Laszlo Schwartz; Michael I. Weinstein,Studies on the Innervation of Smooth Muscle,0002-9513,10.1152/ajplegacy.1930.92.2.453,,,,,
1930,Hiram E. Essex; James Markowitz,The Physiologic Action of Rattlesnake Venom (Crotalin),0002-9513,10.1152/ajplegacy.1930.92.2.317,,,,,
1930,M. M. Kunde; Mary E. Neville,"Changes in Reflex Response, and Electrical Excitation of Peripheral Motor Nerves in Experimental Hypo- And Hyperthyroidism",0002-9513,10.1152/ajplegacy.1930.92.2.457,,,,,
1930,Wallace O. Fenn,The Anaerobic Oxygen Debt of Frog Nerve,0002-9513,10.1152/ajplegacy.1930.92.2.349,,,,,
1930,George Giragosintz; J. M. D. Olmsted,Possible Sources of Error in Weights of Small Muscles Frozen in Liquid Air,0002-9513,10.1152/ajplegacy.1930.92.2.414,,,,,
1930,S. R. M. Reynolds,Studies on the Uterus,0002-9513,10.1152/ajplegacy.1930.92.2.430,,,,,
1930,Frederick Hoelzel,The Rate of Passage of Inert Materials Through the Digestive Tract,0002-9513,10.1152/ajplegacy.1930.92.2.466,,,,,
1930,Gordon Taylor; Edward J. Manwell; F. S. Robscheit-Robbins; G. H. Whipple,Blood Regeneration in Severe Anemia,0002-9513,10.1152/ajplegacy.1930.92.2.408,,,,,
1930,Walter E. Elhardt,Effect of Ethyl Alcohol on the Growth of Chicks,0002-9513,10.1152/ajplegacy.1930.92.2.450,,,,,
1930,F. S. Robscheit-Robbins; G. H. Whipple,Blood Regeneration in Severe Anemia,0002-9513,10.1152/ajplegacy.1930.92.2.400,,,,,
1930,G. H. Whipple; F. S. Robscheit-Robbins,Blood Regeneration in Severe Anemia,0002-9513,10.1152/ajplegacy.1930.92.2.362,,,,,
1930,Casimir Funk; Benjamin Harrow; A. Lejwa,The Male Hormone,0002-9513,10.1152/ajplegacy.1930.92.2.440,,,,,
1930,Hiram E. Essex; James Markowitz,The Physiologic Action of Rattlesnake Venom (Crotalin),0002-9513,10.1152/ajplegacy.1930.92.2.335,,,,,
1930,Hiram E. Essex; James Markowitz,The Physiologic Action of Rattlesnake Venom (Crotalin),0002-9513,10.1152/ajplegacy.1930.92.2.342,,,,,
1930,Hiram E. Essex; James Markowitz,The Physiologic Action of Rattlesnake Venom (Crotalin),0002-9513,10.1152/ajplegacy.1930.92.2.329,,,,,
1930,Hiram E. Essex; James Markowitz,The Physiologic Action of Rattlesnake Venom (Crotalin),0002-9513,10.1152/ajplegacy.1930.92.2.345,,,,,
1930,Carroll L. Birch; Edward A. Boyden,Reaction of Gall Bladder to Stimulation of Gastrointestinal Tract,0002-9513,10.1152/ajplegacy.1930.92.2.301,,,,,
1930,Arthur H Steinhaus; Thomas A. Jenkins; John J. Lunn,The Heart Rate of Dogs Breathing Normal and Oxygen-Rich Air,0002-9513,10.1152/ajplegacy.1930.92.2.436,,,,,
1930,G. H. Whipple; F. S. Robscheit-Robbins,Blood Regeneration in Severe Anemia,0002-9513,10.1152/ajplegacy.1930.92.2.388,,,,,
1930,Edward A. Boyden; Carroll L. Birch,Reaction of Gall Bladder to Stimulation of Gastrointestinal Tract,0002-9513,10.1152/ajplegacy.1930.92.2.287,,,,,
1930,F. S. Robscheit-Robbins; G. H. Whipple,Blood Regeneration in Severe Anemia,0002-9513,10.1152/ajplegacy.1930.92.2.378,,,,,
1930,S. R. M. Reynolds,Studies on the Uterus,0002-9513,10.1152/ajplegacy.1930.92.2.420,,,,,
1930,R. W. Gerard,The Response of Nerve to Oxygen Lack,0002-9513,10.1152/ajplegacy.1930.92.2.498,,,,,
1930,Frederick L. Hisaw; Samuel L. Leonard,Relation of the Follicular and Corpus Luteum Hormones in the Production of Progestational Proliferation of the Rabbit's Uterus,0002-9513,10.1152/ajplegacy.1930.92.3.574,,,,,
1930,Einar Lie,Caffein and Diuresis in Man,0002-9513,10.1152/ajplegacy.1930.92.3.619,,,,,
1930,Hiram E. Essex; James Markowitz,The Physiologic Action of Rattlesnake Venom (Crotalin),0002-9513,10.1152/ajplegacy.1930.92.3.698,,,,,
1930,John C. Brougher,The Effect of Desiccated Spleen and Splenectomy on Serum Calcium in Normal and Parathyrodectomized Dogs,0002-9513,10.1152/ajplegacy.1930.92.3.648,,,,,
1930,Charles M. Wilhelmj; Walter M. Boothby,The Effect of the Daily Administration of Iodine on the Calorigenic Action of Single Intravenous Injections of Thyroxine,0002-9513,10.1152/ajplegacy.1930.92.3.568,,,,,
1930,Albert M. Snell; Charles S. Greene,The Calcium in the Serum in Jaundice,0002-9513,10.1152/ajplegacy.1930.92.3.630,,,,,
1930,Willard M. Allen,Physiology of the Corpus Luteum,0002-9513,10.1152/ajplegacy.1930.92.3.612,,,,,
1930,Leonard Benjamin Shpiner,Increased Metabolism Only One Factor in the Production and Maintenance of the Hyperglycemia and Glycosuria in Experimental Hyperthyroidism,0002-9513,10.1152/ajplegacy.1930.92.3.672,,,,,
1930,J. C. Hinsey; Herbert S. Gasser,The Component of the Dorsal Root Mediating Vasodilatation and the Sherrington Contracture,0002-9513,10.1152/ajplegacy.1930.92.3.679,,,,,
1930,Hiram E. Essex; James Markowitz,The Physiologic Action of Rattlesnake Venom (Crotalin),0002-9513,10.1152/ajplegacy.1930.92.3.705,,,,,
1930,V. H. K. Moorhouse,Observations on the Spinal Integration of Standing,0002-9513,10.1152/ajplegacy.1930.92.3.716,,,,,
1930,Arthur R. Colwell; Elizabeth M. Bright,The Use of Constant Glucose Injections for the Study of Induced Variations in Carbohydrate Metabolism,0002-9513,10.1152/ajplegacy.1930.92.3.555,,,,,
1930,Wallace O. Fenn,Frictional and Kinetic Factors in the Work of Sprint Running,0002-9513,10.1152/ajplegacy.1930.92.3.583,,,,,
1930,Lewis J. Pollock; Loyal Davis,Studies in Decerebration,0002-9513,10.1152/ajplegacy.1930.92.3.625,,,,,
1930,J. S. McHargue; William R. Roy,Effect of Ultraviolet Irradiation on the Magnesium Content of Rats Receiving Reflected Sunlight and a Uniform Stock Ration,0002-9513,10.1152/ajplegacy.1930.92.3.651,,,,,
1930,Yandell Henderson; Woldemar Mobitz,The Constant Rate of Absorption of Ethyl Iodide Vapor and Its Significance as a Basis for Measuring the Circulation,0002-9513,10.1152/ajplegacy.1930.92.3.707,,,,,
1930,James P. Quigley; Jack Lindquist,Action of Phlorhizin on Hunger Contractions in the Normal or Vagotomized Dog,0002-9513,10.1152/ajplegacy.1930.92.3.690,,,,,
1930,John H. Powers; Morris A. Bowie; Isabel Howard,"Some Observations on the Blood of Normal Dogs, With Special Reference to the Total Volume",0002-9513,10.1152/ajplegacy.1930.92.3.665,,,,,
1930,T. E. Boyd; R. W. Gerard,The Effect of Prolonged Activity on the Irritability of Medullated Nerve,0002-9513,10.1152/ajplegacy.1930.92.3.656,,,,,
1930,D. R. Hooker,Chemical Factors in Ventricular Fibrillation,0002-9513,10.1152/ajplegacy.1930.92.3.639,,,,,
1930,Hiram E. Essex; James Markowitz,The Physiologic Action of Rattlesnake Venom (Crotalin),0002-9513,10.1152/ajplegacy.1930.92.3.695,,,,,
1930,Arthur R. Colwell; Elizabeth M. Bright,The Use of Constant Glucose Injections for the Study of Induced Variations in Carbohydrate Metabolism,0002-9513,10.1152/ajplegacy.1930.92.3.543,,,,,
1930,McKeen Cattell; D. J. Edwards,The Influence of Hydrostatic Pressure on the Contraction of Cardiac Muscle in Relation to Temperature,0002-9513,10.1152/ajplegacy.1930.93.1.97,,,,,
1930,W.T. Pommerenke; H. F. Haney; Walter J. Meek,The Energy Metabolism of Pregnant Rabbits,0002-9513,10.1152/ajplegacy.1930.93.1.249,,,,,
1930,Charles M. Wilhelmj; Frank C. Mann,The Influence of Nutrition on the Response to Certain Amino Acids,0002-9513,10.1152/ajplegacy.1930.93.1.69,,,,,
1930,C. I. Reed; Robert Barnard,Studies on the Physiological Action of Light,0002-9513,10.1152/ajplegacy.1930.93.1.146,,,,,
1930,O. W. Barlow,The Influence of Inorganic Iron on the Anemia of Rice Disease in Pigeons,0002-9513,10.1152/ajplegacy.1930.93.1.156,,,,,
1930,Wallace O. Fenn,The Effect of Anaerobiosis and Other Factors on the Oxygen Consumption of Irritable and Non-Irritable Muscles,0002-9513,10.1152/ajplegacy.1930.93.1.124,,,,,
1930,Madeleine E. Field,The Effect of Emotion on the Blood-Platelet Count,0002-9513,10.1152/ajplegacy.1930.93.1.245,,,,,
1930,Madeleine E. Field; Cecil K. Drinker,The Action of Histamine on the Bronchioles and Pulmonary Vessels of the Guinea Pig,0002-9513,10.1152/ajplegacy.1930.93.1.138,,,,,
1930,Henry Brody,The Carbon Dioxide Dissociation Curve of Frog Heart Muscle,0002-9513,10.1152/ajplegacy.1930.93.1.190,,,,,
1930,Samuel Gelfan,Studies of Single Muscle Fibres,0002-9513,10.1152/ajplegacy.1930.93.1.1,,,,,
1930,Arthur P. Grollman,Physiological Variations of the Cardiac Output of Man,0002-9513,10.1152/ajplegacy.1930.93.1.19,,,,,
1930,F. H. Lumley; L. B. Nice,Blood Sugar of Adrenalectomized Rats,0002-9513,10.1152/ajplegacy.1930.93.1.152,,,,,
1930,Frederick H. Pratt,On the Grading Mechanism of Muscle,0002-9513,10.1152/ajplegacy.1930.93.1.9,,,,,
1930,Eugene M. Landis,The Capillary Blood Pressure in Mammalian Mesentery as Determined by the Micro-Injection Method,0002-9513,10.1152/ajplegacy.1930.93.1.353,,,,,
1930,H. Necheles; R. W. Gerard,The Effect of Carbon Dioxide on Nerve,0002-9513,10.1152/ajplegacy.1930.93.1.318,,,,,
1930,R. W. Gerard,Delayed Action Potentials in Nerve,0002-9513,10.1152/ajplegacy.1930.93.1.337,,,,,
1930,O. W. Barlow,"The Influence of Vitamin B on the Inanition, Anemia and Bacteriemia of Rice Disease in Pigeons",0002-9513,10.1152/ajplegacy.1930.93.1.161,,,,,
1930,Charles M. Wilhelmj; Frank C. Mann,The Influence of Nutrition on the Response to Certain Amino Acids,0002-9513,10.1152/ajplegacy.1930.93.1.258,,,,,
1930,James Rollin Slonaker,"The Effect of the Excision of Different Sexual Organs on the Development, Growth and Longevity of the Albino Rat",0002-9513,10.1152/ajplegacy.1930.93.1.307,,,,,
1930,Peter Heinbecker,The Potential Analysis of the Turtle and Cat Sympathetic and Vagus Nerve Trunks,0002-9513,10.1152/ajplegacy.1930.93.1.284,,,,,
1930,Anna M. Baetjer,The Relation of the Sympathetic Nervous System to the Contractions and Fatigue of Skeletal Muscle in Mammals,0002-9513,10.1152/ajplegacy.1930.93.1.41,,,,,
1930,Carl F. Cori; Gerty T. Cori; K. W. Buchwald,The Mechanism of Epinephrine Action,0002-9513,10.1152/ajplegacy.1930.93.1.273,,,,,
1930,Arthur P. Grollman,A Comparison of the Triple Extrapolation (Fick Principle) and the Acetylene (Foreign Gas Principle) Methods for the Determination of the Cardiac Output of Man,0002-9513,10.1152/ajplegacy.1930.93.1.116,,,,,
1930,Walter E. Garrey,The Pace Maker of the Cardiac Ganglion of Limulus Polyphemus,0002-9513,10.1152/ajplegacy.1930.93.1.178,,,,,
1930,Kamil Schulhof,The Effect of Antithyroglobulin Serum on the Physiological Action of Thyroglobulin,0002-9513,10.1152/ajplegacy.1930.93.1.175,,,,,
1930,D. J. Edwards; McKeen Cattell,The Action of Compression on the Contraction of Heart Muscle,0002-9513,10.1152/ajplegacy.1930.93.1.90,,,,,
1930,D. W. Ashcraft,The Correlative Activities of the Alimentary Canal of the Fowl,0002-9513,10.1152/ajplegacy.1930.93.1.105,,,,,
1930,Kamil Schulhof,Thyroglobulin Versus Thyroxin,0002-9513,10.1152/ajplegacy.1930.93.1.170,,,,,
1930,F. T. Rogers; C Martin,The Effects of X-Rays on the Adrenal Gland,0002-9513,10.1152/ajplegacy.1930.93.1.219,,,,,
1930,Carl J. Wiggers,Studies on Ventricular Fibrillation Produced by Electric Shock,0002-9513,10.1152/ajplegacy.1930.93.1.197,,,,,
1930,S. W. Britton,An Apparent Influence of Sympathetic Nerves on Muscle Glycogen,0002-9513,10.1152/ajplegacy.1930.93.1.213,,,,,
1930,H. H. Cole; G. H. Hart,The Potency of Blood Serum of Mares in Progressive Stages of Pregnancy in Effecting the Sexual Maturity of the Immature Rat,0002-9513,10.1152/ajplegacy.1930.93.1.57,,,,,
1930,Jean Oliver; Eshref Shevky,The Relation of Particle Size to Mechanism of Dye Excretion by the Kidney,0002-9513,10.1152/ajplegacy.1930.93.1.363,,,,,
1930,A. Samojloff,The Extra Systolic Impulse of the Ganglion of Limulus Heart,0002-9513,10.1152/ajplegacy.1930.93.1.186,,,,,
1930,Edward J. Van Liere; George Crisler,The Effect of Anoxemia on Hunger Contractions,0002-9513,10.1152/ajplegacy.1930.93.1.267,,,,,
1930,S. Dworkin,Observations on the Central Control of Shivering and of Heat Regulation in the Rabbit,0002-9513,10.1152/ajplegacy.1930.93.1.227,,,,,
1930,Gregory D. Buckner; J. Holmes Martin; F. E. Hull,The Distribution of Blood Calcium in the Circulation of Laying Hens,0002-9513,10.1152/ajplegacy.1930.93.1.86,,,,,
1930,José Pereira Lamelas,"Blood Calcium After Sympathectomy, Adrenin Injections and Sham Rage",0002-9513,10.1152/ajplegacy.1930.93.1.111,,,,,
1930,Earle W. Holmes; R. W. Gerard; Edward I. Solomon,Studies on Nerve Metabolism,0002-9513,10.1152/ajplegacy.1930.93.1.342,,,,,
1930,Harold E. Himwich; Mark A. Adams,Studies in Glandular Metabolism,0002-9513,10.1152/ajplegacy.1930.93.2.568,,,,,
1930,Raymond N. Bieter,The Reabsorptive Function of the Tubule in the Frog's Kidney,0002-9513,10.1152/ajplegacy.1930.93.2.574,,,,,
1930,Daniel A. McGinty,The Regulation of Respiration,0002-9513,10.1152/ajplegacy.1930.93.2.528,,,,,
1930,P. F. Swindle,Mechanical Factors Contributing to the Exchange of Fluids in the Body,0002-9513,10.1152/ajplegacy.1930.93.2.607,,,,,
1930,Loyal Davis; Lewis J. Pollock,The Effect of Atropin Upon Skeletal Muscle Tonus,0002-9513,10.1152/ajplegacy.1930.93.2.379,,,,,
1930,Zachary A. Blier,Physiology of the Sphenopalatine Ganglion,0002-9513,10.1152/ajplegacy.1930.93.2.398,,,,,
1930,P. F. Swindle,Mechanical Factors Contributing to the Exchange of Fluids in the Body,0002-9513,10.1152/ajplegacy.1930.93.2.588,,,,,
1930,Wallace O. Fenn,Work Against Gravity and Work Due to Velocity Changes in Running,0002-9513,10.1152/ajplegacy.1930.93.2.433,,,,,
1930,Cecile Markowitz; Frank C. Mann,The Rôle of the Lung in the Metabolism of Fat,0002-9513,10.1152/ajplegacy.1930.93.2.521,,,,,
1930,Louis A. Shaw; Anne Messer,The Carbon Dioxide Capacity of the Body and the Rate at Which the Body Comes Into Equilibrium With Changes in the Alveolar Carbon Dioxide Tension,0002-9513,10.1152/ajplegacy.1930.93.2.422,,,,,
1930,N. B. Taylor; Albert S. Fine,The Excretion of Calcium Through the Intestine,0002-9513,10.1152/ajplegacy.1930.93.2.544,,,,,
1930,F. G. Hall,The Ability of the Common Mackerel and Certain Other Marine Fishes to Remove Dissolved Oxygen From Sea Water,0002-9513,10.1152/ajplegacy.1930.93.2.417,,,,,
1930,Arthur P. Grollman,Physiological Variations of the Cardiac Output of Man,0002-9513,10.1152/ajplegacy.1930.93.2.536,,,,,
1930,S. W. Britton; Andrew M. Hinson; William H. Hall,Neural and Hormonal Influences on Bodily Activity,0002-9513,10.1152/ajplegacy.1930.93.2.473,,,,,
1930,Béla Halpert; Julian Lewis,Experiments on the Isolated Whole Gall Bladder of the Dog,0002-9513,10.1152/ajplegacy.1930.93.2.506,,,,,
1930,Harry M. Vars,Blood Fibrin Studies,0002-9513,10.1152/ajplegacy.1930.93.2.554,,,,,
1930,,Proceedings of the American Physiological Society,0002-9513,10.1152/ajplegacy.1930.93.2.628,,,,,
1930,Lester R. Dragstedt; James C. Ellis,The Fatal Effect of the Total Loss of Gastric Juice,0002-9513,10.1152/ajplegacy.1930.93.2.407,,,,,
1930,Peter Heinbecker,The Functional Analysis of a Sympathetic Ganglion of the Turtle by the Cathode Ray Oscillograph,0002-9513,10.1152/ajplegacy.1930.93.2.384,,,,,
1930,P. F. Swindle,Mechanical Factors Contributing to the Exchange of Fluids in the Body,0002-9513,10.1152/ajplegacy.1930.93.2.600,,,,,
1930,Homer W. Smith,The Absorption and Excretion of Water and Salts by Marine Teleosts,0002-9513,10.1152/ajplegacy.1930.93.2.480,,,,,
1930,Curt P. Richter,Galvanic Skin Reflex From Animals With Complete Transection of the Spinal Cord,0002-9513,10.1152/ajplegacy.1930.93.2.468,,,,,
1930,Jr. Daniel R. Hardeman,Studies in Volume Changes of the Pancreas,0002-9513,10.1152/ajplegacy.1930.93.2.463,,,,,
1930,P. F. Swindle,Mechanical Factors Contributing to the Exchange of Fluids in the Body,0002-9513,10.1152/ajplegacy.1930.93.2.616,,,,,
1930,John M. Ort; James Markowitz,Hydrion Concentration and Edema in Perfused Hearts of Rabbits,0002-9513,10.1152/ajplegacy.1930.94.1.60,,,,,
1930,Nathaniel Kleitman,The Effect of Continued Stimulation and of Sleep Upon Conditioned Salivation,0002-9513,10.1152/ajplegacy.1930.94.1.215,,,,,
1930,Vito Witting; James Markowitz; Frank C. Mann,The Rôle of Glycogen in the Contraction of the Perfused Heart of the Rabbit,0002-9513,10.1152/ajplegacy.1930.94.1.35,,,,,
1930,Zachary A. Blier; Nathaniel Kleitman,Conditions Affecting the Linguo-Maxillary Reflex,0002-9513,10.1152/ajplegacy.1930.94.1.118,,,,,
